,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",AprÃ¨s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
0,silvretta-montafon,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/silvretta-montafon/,2430.0,62.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,33.9,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,biberwier-marienberg,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/biberwier-marienberg/,1820.0,7.3,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,41.5,26.0,European Euro,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ski-juwel-alpbachtal-wildschoenau,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,2025.0,25.1,53.1,12.7,0.0,0.0,0.0,0.0,0.0,0.0,52.5,42.0,26.5,European Euro,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,kaltenbach-hochzillertalhochfuegen-ski-optimal,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,2378.0,29.7,41.3,14.6,0.0,0.0,0.0,0.0,0.0,0.0,61.0,49.5,28.0,European Euro,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ischglsamnaun-silvretta-arena,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,2872.0,47.0,143.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,39.0,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,latemar-obereggenpampeagopredazzo,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/latemar-obereggenpampeagopredazzo/,2388.0,9.3,32.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,38.5,European Euro,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,spieljoch-fuegen,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/spieljoch-fuegen/,2054.0,3.6,10.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,61.0,49.5,28.0,European Euro,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,arosa-lenzerheide,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/arosa-lenzerheide/,2865.0,110.0,87.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,55.0,27.0,Swiss Franc,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,racines-giovo-ratschings-jaufenmalga-calice-kalcheralm,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/racines-giovo-ratschings-jaufenmalga-calice-kalcheralm/,2100.0,4.8,22.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,36.0,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,soelden,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/soelden/,3340.0,69.5,46.6,27.3,0.0,0.0,0.0,0.0,0.0,0.0,64.0,51.0,35.0,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
