,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",Après-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
silvretta-montafon,silvretta-montafon,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/silvretta-montafon/,2430.0,62.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,33.90,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,,,,,,,,
biberwier-marienberg,biberwier-marienberg,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/biberwier-marienberg/,1820.0,7.3,3.7,0.0,,,0.0,0.0,,,52,41.50,26,European Euro,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,0.0,,,,,,,
ski-juwel-alpbachtal-wildschoenau,ski-juwel-alpbachtal-wildschoenau,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,2025.0,25.1,53.1,12.7,,0.0,0.0,0.0,0.0,0.0,52.50,42,26.50,European Euro,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,
kaltenbach-hochzillertalhochfuegen-ski-optimal,kaltenbach-hochzillertalhochfuegen-ski-optimal,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/kaltenbach-hochzillertalhochfuegen-ski-optimal/,2378.0,29.7,41.3,14.6,,0.0,0.0,0.0,0.0,0.0,61,49.50,28,European Euro,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,,,,,,,,
ischglsamnaun-silvretta-arena,ischglsamnaun-silvretta-arena,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ischglsamnaun-silvretta-arena/,2872.0,47.0,143.0,49.0,0.0,0.0,0.0,0.0,,,63,0,39,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0.0,,,,,,,
latemar-obereggenpampeagopredazzo,latemar-obereggenpampeagopredazzo,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/latemar-obereggenpampeagopredazzo/,2388.0,9.3,32.8,6.9,,0.0,0.0,0.0,,,55,0,38.50,European Euro,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,,,,,,
spieljoch-fuegen,spieljoch-fuegen,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/spieljoch-fuegen/,2054.0,3.6,10.8,2.7,,0.0,0.0,0.0,,0.0,61,49.50,28,European Euro,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,,,,,,,,
arosa-lenzerheide,arosa-lenzerheide,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/arosa-lenzerheide/,2865.0,110.0,87.0,28.0,0.0,0.0,0.0,0.0,0.0,,84,55,27,Swiss Franc,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,,0.0,,,,,
racines-giovo-ratschings-jaufenmalga-calice-kalcheralm,racines-giovo-ratschings-jaufenmalga-calice-kalcheralm,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol),https://www.skiresort.info/ski-resort/racines-giovo-ratschings-jaufenmalga-calice-kalcheralm/,2100.0,4.8,22.3,0.9,,0.0,0.0,0.0,,,52,0,36,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,0.0,,,,,,,
soelden,soelden,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/soelden/,3340.0,69.5,46.6,27.3,,0.0,0.0,0.0,,0.0,64,51,35,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,,,,0.0,,,,
